Item1,relation,Item2
阿尔伯特·爱因斯坦,influenced by,詹姆斯·克拉克·麦克斯韦
阿德莱德,capital of,南澳大利亚州
豫,shares border with,湖北省
巴西,diplomatic relation,印度尼西亚
斯洛伐克共和国,capital,布拉迪斯拉发
圣彼得堡,twinned administrative body,蒙得维的亚
圭亚那,diplomatic relation,印度
狄俄倪索斯,father,宙斯
东帝汶,diplomatic relation,葡萄牙
拔野古,instance of,姓氏
毛主席语录,genre,政治哲学
秦昭襄王,position held,王
阿拉伯国家,diplomatic relation,欧洲联盟
土耳其,diplomatic relation,意大利
朴正熙,conflict,越南战争
庐江,located in the administrative territorial entity,合肥市
古希腊数学,subclass of,数学
密克罗尼西亚,named after,密克罗尼西亚群岛
李煜瀛,employer,北京大学
标准化,has effect,标准
马斯特里赫特条约,language of work or name,丹麦语
伊拉克,diplomatic relation,俄罗斯
东方,different from,东方
北周宣帝,sex or gender,男性
北洋政府,capital,北京市
捷克斯洛伐克,continent,欧洲
台湾,diplomatic relation,塔吉克斯坦
K,discoverer or inventor,汉弗里·戴维
普拉亚,located in the administrative territorial entity,哈瓦那
强,subclass of,焦虑症
杜塞尔多夫,instance of,大城市
联合王国,diplomatic relation,秘鲁
雷必达,occupation,政治人物
西塞罗,described by source,希腊罗马名人传
高斯,employer,哥廷根大学
中华人民共和国住房和城乡建设部,country,中华人民共和国
角色,used by,演员
体积,subclass of,标量
丹麦,located in or next to body of water,北海
纽约,twinned administrative body,拉巴斯
计算器,source of energy,太阳能
马六甲市,instance of,城市
区,official residence,法国行政区划
神经递质,subclass of,化合物
洋流,part of,海洋
桐柏县,instance of,县
民国,diplomatic relation,意大利
孩子,original language of work,法语
菲律宾,deepest point,菲律宾海
拓跋寔,sex or gender,男性
普路托,said to be the same as,哈得斯
南平,contains administrative territorial entity,建阳区
生产,different from,制造业
李大钊,place of birth,唐山市
阿马蒂亚·森,award received,诺贝尔经济学奖
沂河,country,中华人民共和国
福建,contains administrative territorial entity,南平市
摩尔多瓦,diplomatic relation,奥地利
伊拉克,diplomatic relation,也门
格鲁吉亚,diplomatic relation,刚果共和国
叔本华,field of work,美学
江苏,contains administrative territorial entity,镇江市
春秋时期,named after,春秋
元,permanent duplicated item,元朝
梅尔文·卡尔文,country of citizenship,美国
布莱尔港,located in the administrative territorial entity,安达曼-尼科巴群岛
安达礁,country,中华人民共和国
联合王国,public holiday,元旦
海口市,twinned administrative body,伯斯
南洋公学,located in the administrative territorial entity,徐汇区
前臂,part of,臂
1960年代,part of,20世纪
耶稣,present in work,古兰经
卡特加特海峡,country,丹麦
薄一波,member of political party,中国共产党
牛顿,country of citizenship,英格兰王国
达尔文,occupation,生物学家
巴伐利亚,language used,施瓦本语
波士顿,twinned administrative body,斯特拉斯堡
葛洲坝水电站,country,中华人民共和国
李治,sibling,李泰
耶稣,present in work,福音书
霍叔,sibling,周公旦
意大利人口,subclass of,人口学
氢氧化钠,has part,氧
川,has part,水
以色列,diplomatic relation,叙利亚
摩纳哥,member of,联合国
计算机,subclass of,工具
埃及,diplomatic relation,巴基斯坦
泉港区,instance of,区
河洛,located in the administrative territorial entity,元朝
公共政策,instance of,概念
大卫·休谟,occupation,作家
阴,described by source,百家姓
西格蒙德·弗洛伊德,sex or gender,男性
邮政式拼音,facet of,汉语
沸点,subclass of,温度
有机酸,has part,氧
库尔德人,country,土耳其
马克斯·普朗克,work location,慕尼黑
东山,place of birth,京都市
维斯瓦河,continent,欧洲
民答那峨岛,country,菲律宾
生理盐水,has part,水
佛罗里达州,located in or next to body of water,墨西哥湾
艾曼·扎瓦希里,sex or gender,男性
天,measured physical quantity,时间
文言,subclass of,中文
舟山,located in the administrative territorial entity,浙江省
联合王国,diplomatic relation,摩洛哥
经典电磁学,subclass of,电磁学
孟加拉语,country,孟加拉国
更始帝,sex or gender,男性
布达佩斯,continent,欧洲
阿尔及利亚,diplomatic relation,墨西哥
埃松河,instance of,河流
制造业,subclass of,服务
叙利亚,diplomatic relation,沙特阿拉伯
台湾,diplomatic relation,尼泊尔
克孜勒苏柯尔克孜自治州,instance of,自治州
哈得斯,sibling,宙斯
卡尔·弗里德里希·高斯,field of work,数学分析
人文,studies,宗教
加纳,member of,非洲联盟
马鞍山,instance of,地级市
无脊椎动物,parent taxon,动物
苏丹共和国,instance of,主权国家
哥伦比亚,shares border with,厄瓜多尔
马尼拉,twinned administrative body,洛杉矶
曾母暗沙,instance of,暗沙
东部,has part,赞比亚
罗伯特·威尔逊,country of citizenship,美国
布拉格,twinned administrative body,耶路撒冷
浦东,instance of,国家级新区
速度,has part,速率
智利,diplomatic relation,奥地利
斯洛伐克,diplomatic relation,捷克
系统,studied by,控制论
比利牛斯山脉,instance of,山脉
金朝,continent,亚洲
法兰西共和国,diplomatic relation,希腊
尼什,country,塞尔维亚
羌语支,instance of,语系
阿拉伯联合酋长国,diplomatic relation,加拿大
粤,continent,亚洲
焦耳,measured physical quantity,能量
魏哀王,sex or gender,男性
二氧化碳,found in taxon,智人
吴江区,part of,江苏省
京,shares border with,天津市
乙醇,crystal system,单斜晶系
司马懿,sex or gender,男性
美国东北部,located in the administrative territorial entity,美国
量子计算机,subclass of,电子计算机
塞拉利昂,member of,世界贸易组织
巴布亚新几内亚,diplomatic relation,中华人民共和国
介子,interaction,强相互作用
刘向,occupation,作家
辽东半岛,located in the administrative territorial entity,辽宁省
易卜拉欣,sex or gender,男性
津巴布韦,part of,南部非洲
布列塔尼语,writing system,拉丁文字
墨西哥城,twinned administrative body,悉尼
钙,discoverer or inventor,汉弗里·戴维
阿塞拜疆,diplomatic relation,瑞士
孟子,country of citizenship,中华人民共和国
多明尼加共和国,diplomatic relation,澳大利亚
阿道夫·艾希曼,place of burial,地中海
加帛,located in the administrative territorial entity,加帛省
拓拔珪,sex or gender,男性
罗马尼亚,diplomatic relation,朝鲜民主主义人民共和国
元大都,instance of,城市
枚乘,ethnic group,汉族
阿塞拜疆,diplomatic relation,美国
巴西利亚,twinned administrative body,阿姆斯特丹
工作,subclass of,功
列宁,residence,莫斯科
阿布哈兹,diplomatic relation,土耳其
火山岩,subclass of,火成岩
梅尔文·卡尔文,award received,诺贝尔化学奖
金边,twinned administrative body,曼谷
科索沃,diplomatic relation,比利时
刘进,father,刘据
昆士兰州,capital,布里斯班
绿色植物,parent taxon,真核生物
受精卵,fabrication method,受精
沙俄,shares border with,大日本帝国
闪音,instance of,发音方法
凝固,opposite of,熔化
老挝,shares border with,柬埔寨
枣庄市,located in the administrative territorial entity,山东省
石鼓,occupation,比丘
头足纲,parent taxon,软体动物
欧几里得空间,subclass of,希尔伯特空间
A,has part,月
子集,part of,集合
综艺,country,美国
塔林,twinned administrative body,威尼斯
安南,languages spoken written or signed,英语
全国重点文物保护单位,country,中华人民共和国
列宁,country of citizenship,苏联
匈牙利语,country,斯洛文尼亚
子思,place of birth,中国
欧洲太空总署,founded by,意大利
金榜,country of citizenship,明朝
阿布哈兹语,instance of,语言
神父,different from,出家人
荷兰,diplomatic relation,俄罗斯
短篇小说,subclass of,散文
地球,opposite of,天空
德里,official language,印地语
巴哈马,part of,加勒比地区
天后,spouse,唐高宗
德国人,religion,天主教
云母,crystal system,单斜晶系
马来西亚首相,applies to jurisdiction,马来西亚
西非,has part,塞内加尔
水星,part of,太阳系
巴基斯坦,diplomatic relation,英国
爪哇海,instance of,海
膜电位,instance of,物理量
大爆炸,country of origin,美国
棕榈目,taxon rank,目
南非,diplomatic relation,莫桑比克
白俄罗斯语,country,波兰
赤壁之战,instance of,战役
奥地利,shares border with,瑞士
咸丰皇帝,country of citizenship,清朝
里斯本条约,location,里斯本
中洲礁,territory claimed by,菲律宾
闽侯,located in the administrative territorial entity,福州市
俾斯麦海,basin country,巴布亚新几内亚
李治,father,唐太宗
西班牙,continent,非洲
可微函数,subclass of,连续函数
漠北,part of,蒙古族
帕劳,diplomatic relation,密克罗尼西亚联邦
泰州市,shares border with,苏州市
南欧,has part,希腊
婺源,instance of,县
长沙,contains administrative territorial entity,浏阳市
宋卡府,located in the administrative territorial entity,泰国
南苏丹,member of,非洲联盟
斯科讷地区,country,瑞典
名人,instance of,期刊
刚果共和国,named after,刚果河
电力学,instance of,社区
人,has quality,人性
太原郡,country,中华人民共和国
李政道,employer,哥伦比亚大学
勾股,part of,欧几里得几何
仙人掌,taxon rank,科
拓跋什翼犍,sex or gender,男性
杜邦公司,industry,化学工业
半岛,subclass of,大陆
尼什,instance of,城市
民国,diplomatic relation,葡萄牙
埃里温,twinned administrative body,大马士革
原子核,studied by,经典电磁学
德黑兰,twinned administrative body,曼谷
不列颠,instance of,主权国家
都灵,twinned administrative body,地拉那
琉球国,country,琉球国
满月,instance of,月相
EC,official language,西班牙语
童年,follows,分娩
漳州话,subclass of,方言
咸丰,country,清朝
波兰,different from,波兰人民共和国
映射,subclass of,函数
魔兽争霸：人类与兽人,platform,DOS
1900年,part of,公元
帕吉勒提河,instance of,河流
忽必烈,position held,可汗
联合王国,diplomatic relation,南非
皮埃蒙特,shares border with,瓦莱达奥斯塔
双曲线,subclass of,圆锥曲线
台湾,diplomatic relation,爱尔兰共和国
海门,country,俄罗斯帝国
海梅一世,languages spoken written or signed,奥克语
自由党,country,英国
大洋,located on terrain feature,地球
相对论,has part,狭义相对论
亚当·斯密,field of work,伦理学
李政道,educated at,国立西南联合大学
哈瓦那,instance of,首都
微分方程,part of,微分学
周瑜,country of citizenship,东汉
摩诃迦叶,religion,佛教
瑞典中央银行,instance of,中央银行
雅典,twinned administrative body,波士顿
尼加拉瓜,basic form of government,共和制
判断,facet of,决策
西罗马帝国,official language,拉丁语
昆明,instance of,地级市
约瑟夫·戈培尔,languages spoken written or signed,德语
西格蒙德·弗洛伊德,languages spoken written or signed,德语
左派,opposite of,右派
衡阳县,instance of,县
白俄罗斯,separated from,苏联
度量空间,has part,度量
童年,has cause,分娩
炼金术,subclass of,知识
沙县话,instance of,方言
直径,subclass of,线段
故宫博物院,country,中华人民共和国
能量,instance of,标量
墨西哥城,twinned administrative body,北京市
塞纳河,located in the administrative territorial entity,塞纳-马恩省
冰川学,studies,冰川
总体战,subclass of,兵法
乳汁,taxon rank,种
巴勒斯坦领土,country,巴勒斯坦
大自然,original language of work,冰岛语
克劳塞维茨,place of death,弗罗茨瓦夫
埃及,official language,阿拉伯语
罗贝尔一世,occupation,政治人物
中央,located in the administrative territorial entity,法国
Ca,located in or next to body of water,北冰洋
金太祖,family,金朝
康斯坦察,twinned administrative body,哈瓦那
台湾,diplomatic relation,毛里塔尼亚
冀,replaces,直隶
萨拉丁,languages spoken written or signed,阿拉伯语
王国邦联,instance of,国家
汶莱,diplomatic relation,新西兰
曼尼普尔邦,country,印度
阿尔伯特·爱因斯坦,languages spoken written or signed,德语
理查德·费曼,country of citizenship,美国
卢旺达,shares border with,刚果民主共和国
控制器,subclass of,装置
银川,located in the administrative territorial entity,宁夏回族自治区
挪威,diplomatic relation,墨西哥
朝鲜,highest point,长白山
俄国,language used,俄语
长度,subclass of,距离
巴尔干,country,希腊
苏维埃社会主义共和国联盟,diplomatic relation,马来西亚
青原行思,sex or gender,男性
女帝,subclass of,君主
中华人民共和国,executive body,中华人民共和国国务院
约瑟夫·斯大林,conflict,第一次世界大战
明成祖,country of citizenship,中国
硫酸钠,has part,氧
大不列颠及北爱尔兰联合王国,diplomatic relation,乌兹别克斯坦
灞河,instance of,河流
藤本,said to be the same as,藤本
乳糖,has part,氧
普利亚,shares border with,坎帕尼亚
瓜德罗普,part of,小安的列斯群岛
伏伊伏丁那,country,塞尔维亚
普鲁塔克,occupation,历史学家
南京,shares border with,滁州市
阿拉伯联合酋长国,contains administrative territorial entity,欧姆古温
星团,subclass of,天体
砂岩,subclass of,沉积岩
沙地阿拉伯,member of,世界贸易组织
阿塞拜疆,diplomatic relation,马来西亚
Cl,diplomatic relation,英国
黎巴嫩,diplomatic relation,澳大利亚
沙地阿拉伯,part of,中东
首尔,twinned administrative body,墨西哥城
伊朗,diplomatic relation,乌拉圭
益阳,located in the administrative territorial entity,湖南省
文莱,diplomatic relation,老挝
法国大革命战争,participant,马耳他
蒋中正,occupation,政治人物
辐射通量,subclass of,功率
CH,diplomatic relation,德国
多明尼加共和国,instance of,主权国家
加沙,twinned administrative body,特拉维夫
竞赛,subclass of,事件
CH,diplomatic relation,欧洲联盟
软甲纲,taxon rank,纲
占族,country,泰国
大地测量,subclass of,地球科学
托马斯·亨利·赫胥黎,languages spoken written or signed,德语
格鲁吉亚,diplomatic relation,利比亚
电容器,part of,电子学
宪政,part of,法律哲学
莲湖区,country,中华人民共和国
联合国,founded by,南斯拉夫
南充市,country,中华人民共和国
津巴布韦,currency,美元
约翰·施里弗,country of citizenship,美国
叔本华,religion,无神论
让-雅克·卢梭,occupation,作家
折射,has effect,反射
法兰西共和国,diplomatic relation,安道尔
埃里温,twinned administrative body,明斯克
沙那,twinned administrative body,安卡拉
EC,diplomatic relation,德国
斯科讷地区,different from,斯科讷省
大地测量,instance of,学科
意大利,diplomatic relation,墨西哥
保加利亚,diplomatic relation,大韩民国
多足类,taxon rank,亚门
圣劳伦斯河,located in the administrative territorial entity,纽约州
天皇,officeholder,明仁
毛里塔尼亚,shares border with,塞内加尔
诸葛亮,occupation,军事家
忽必烈,place of death,北京市
秦德公,sex or gender,男性
民国,diplomatic relation,塞内加尔
莫三比克,diplomatic relation,俄罗斯
纽西兰,railway traffic side,左
潜江,country,中华人民共和国
哲学,has part,本体论
河南,contains administrative territorial entity,新乡市
里斯本,twinned administrative body,卡萨布兰卡
塞维利亚主教座堂,heritage designation,世界遗产
台北,enclave within,新北市
女真文,instance of,文字
葡萄牙,diplomatic relation,澳大利亚
刚果民主共和国,official language,法语
香港人口,subclass of,人口学
檀香山,country,美国
唐中宗,place of birth,西安市
谷物,subclass of,粮食
萨哈林州,located in the administrative territorial entity,俄罗斯
中子,interaction,强相互作用
宇文邕,child,周宣帝
塔吉克,diplomatic relation,乌兹别克斯坦
疏散星团,part of,星系
莱索托,diplomatic relation,美国
维尔纽斯,instance of,城市
人马,has part,马
漯河,contains administrative territorial entity,舞阳县
库尔特·哥德尔,occupation,哲学家
冀,shares border with,山西省
伊班族,location,西加里曼丹省
老子,occupation,作家
客家语,location,西加里曼丹省
油,subclass of,材料
胡适,movement,新文化运动
清真寺,subclass of,神庙
王安石,occupation,诗人
溶组织内阿米巴,parent taxon,内阿米巴属
中华人民共和国,diplomatic relation,尼泊尔
法兰西岛,country,法国
世说新语,instance of,图书
富兰克林·德拉诺·罗斯福,native language,英语
泰坦尼克号,filming location,墨西哥
俄罗斯帝国,official language,波兰语
达芬奇,occupation,物理学家
以色列,diplomatic relation,卡塔尔
柬埔寨,ethnic group,高棉族
美利坚合众国,diplomatic relation,智利
塞浦路斯,diplomatic relation,马耳他
勃兰登堡,located in the administrative territorial entity,德国
都昌,country,中华人民共和国
Na,diplomatic relation,芬兰
牙买加,member of,联合国
黄牛,taxon rank,种
第五次反围剿战争,location,江西省
北美,located on terrain feature,北半球
菲巴斯·利文,nominated for,诺贝尔化学奖
查尔斯·罗伯特·达尔文,occupation,探险家
白俄罗斯,capital,明斯克
俄国,diplomatic relation,墨西哥
骑兵,part of,陆军
乾隆,place of death,北京市
周孝王,sibling,周共王
挪威,diplomatic relation,塞尔维亚
加泰罗尼亚,located in the administrative territorial entity,西班牙
科摩多巨蜥,taxon rank,种
林堡省,contains administrative territorial entity,马斯特里赫特
汉灵帝,occupation,诗人
名人,language of work or name,英语
法兰西共和国,diplomatic relation,英国
虞舜,sex or gender,男性
不列颠,diplomatic relation,巴林
年代,instance of,时间单位
联合王国,member of,北大西洋公约组织
斯大林,nominated for,诺贝尔和平奖
化学元素周期表,has part,元素周期
曼谷,instance of,首都
尼罗河,country,苏丹共和国
吕西亚,country,土耳其
擦音,subclass of,辅音
密克罗尼西亚,language used,英语
圣经,instance of,图书
三十,instance of,合数
熟石灰,has part,氧
社会心理学,subclass of,心理学
神经生物学,part of,心理学
碳酸,has part,氧
撒哈拉沙漠,country,摩洛哥
乙醇,has parts of the class,羟基
中华人民共和国,instance of,主权国家
古巴,diplomatic relation,安哥拉
卡塔尔,official language,阿拉伯语
斯潘塞湾,country,澳大利亚
爱沙尼亚,diplomatic relation,德国
南平,contains administrative territorial entity,浦城县
西门子公司,headquarters location,慕尼黑
阴阳,field of work,哲学
无锡,instance of,地级市
焦耳,instance of,国际单位制导出单位
不列颠,diplomatic relation,埃及
比利时,diplomatic relation,法国
维也纳,twinned administrative body,布拉迪斯拉发
西非,has part,多哥
福建路,instance of,路
埃斯波,shares border with,赫尔辛基
中非,diplomatic relation,苏丹共和国
安定门东大街,instance of,街道
萨尔图区,country,中华人民共和国
勃艮第,shares border with,中央
卢森堡,diplomatic relation,孟加拉国
海口市,instance of,地级市
德国,diplomatic relation,多哥
利奥波德·克罗内克,occupation,数学家
血液,produced by,骨髓
尼日尔,continent,非洲
西伯昌,family,周朝
洪武,country of citizenship,明朝
新加坡,diplomatic relation,朝鲜民主主义人民共和国
泰国,continent,亚洲
博茨瓦纳,member of,联合国
核糖核酸,has part,核苷酸
海德堡,country,普法尔茨
澳,diplomatic relation,格鲁吉亚
东中国海,basin country,日本
爱因斯坦,notable work,相对论
氨,has part,氮
纳粹德国,shares border with,比利时
涅瓦河,lakes on river,拉多加湖
保罗·埃尔德什,country of citizenship,匈牙利
阿尔及利亚,diplomatic relation,印度尼西亚
爪哇岛,part of,大巽他群岛
弦,subclass of,线段
逻辑代数,studies,布尔代数
费尔巴哈,occupation,人类学家
阿克萨清真寺,country,巴勒斯坦
海森堡,sex or gender,男性
澳,diplomatic relation,斯洛文尼亚
李政道,sex or gender,男性
热力学,studies,能量
敖德萨,twinned administrative body,圣彼得堡
天皇,applies to jurisdiction,大日本帝国
克罗地亚,country,克罗地亚
北大西洋公约,has part,卢森堡
京都市,capital of,京都府
洛子峰,country,中华人民共和国
苏格兰盖尔语,country,英国
角苔纲,taxon rank,门
可见光,subclass of,光
耶路撒冷,language used,希伯来语
王符,occupation,哲学家
哈菲兹·阿萨德,position held,叙利亚总统
俄国,diplomatic relation,阿曼
哥伦比亚,diplomatic relation,俄罗斯
雷暴,history of topic,水循环
乳腺,replaces,汗腺
牙买加,deepest point,加勒比海
圣座,diplomatic relation,英国
爱尔兰王国,official language,英语
爱因斯坦,influenced by,卡尔·皮尔逊
布拉戈耶夫格勒州,shares border with,马其顿
洛杉矶,twinned administrative body,圣彼得堡
理查德·费曼,nominated for,诺贝尔物理学奖
爱尔兰,named after,爱尔兰岛
史记,series,二十四史
北江,located in the administrative territorial entity,越南
溥仪,ethnic group,满族
唐高宗,sibling,李泰
俄国,contains administrative territorial entity,莫斯科州
语支,studied by,语言学
佛罗伦萨,capital of,托斯卡纳
夏尔·戴高乐,conflict,第一次世界大战
卡斯蒂利亚王国,official language,西班牙语
始皇帝,noble title,皇帝
解构主义,subclass of,语言学
英特尔,industry,半导体
宙斯,child,米诺斯
俄国,diplomatic relation,美国
统一资源名称,subclass of,统一资源标志符
塞浦路斯,diplomatic relation,以色列
诸葛亮,sex or gender,男性
秋季,instance of,季节
溥仪,sex or gender,男性
蒙,capital,呼和浩特市
瑞士,diplomatic relation,阿塞拜疆
关岛,located in or next to body of water,太平洋
明文,subclass of,文本
科威特,diplomatic relation,印度
新朝,continent,亚洲
动物,subclass of,生物
西亚,has part,也门
塔吉克,instance of,国家
日本,official language,日语
渭水,tributary,洛河
黎凡特,has part,巴勒斯坦领土
古希腊,shares border with,波斯
丹麦,diplomatic relation,苏联
莱纳斯·鲍林,award received,诺贝尔和平奖
法兰西岛,shares border with,中央
世界贸易组织,official language,法语
万里长城,located in the administrative territorial entity,山东省
小安的列斯群岛,has part,圣马丁岛
长沙县,country,中华人民共和国
撒马尔罕,language used,塔吉克语
瓜德罗普,located on terrain feature,加勒比地区
爱丁堡皇家学会,country,英国
雅典,twinned administrative body,卡萨布兰卡
东罗马帝国,country,拜占庭帝国
吉尔吉斯斯坦,official language,俄语
民国,diplomatic relation,蒙古国
阿拉伯国家,shares border with,西班牙
化学,studies,化合物
乌克兰人,native language,乌克兰语
全导数,different from,偏导数
西门子公司,headquarters location,柏林
塞尔维亚语,part of,南斯拉夫语支
克罗地亚,shares border with,欧洲联盟
税率,subclass of,关税
齐威王,sex or gender,男性
化学元素,different from,单质
昭披耶河,continent,亚洲
格鲁吉亚,diplomatic relation,柬埔寨
1982年格陵兰公投,country,格陵兰
乌干达,deepest point,白尼罗河
新加坡岛,capital,新加坡
巴西,diplomatic relation,伊朗
九龙江,country,中华人民共和国
米开朗基罗,languages spoken written or signed,意大利语
低元音,subclass of,元音
于,instance of,汉姓
沙地阿拉伯,diplomatic relation,蒙古国
财产,has quality,所有权
光绪帝,occupation,作家
氰酸盐,subclass of,化合物
乔治·布尔,languages spoken written or signed,英语
劳工,part of,工人阶级
猫科动物,taxon rank,科
亚述人,country,澳大利亚
闵行区,instance of,区
乌拉圭,part of,拉丁美洲
马斯特里赫特条约,language of work or name,意大利语
冰岛,diplomatic relation,丹麦
太庙,heritage designation,全国重点文物保护单位
巴西,shares border with,欧洲联盟
蓝绿藻,taxon rank,门
巴勒斯坦人,instance of,族群
布莱兹·帕斯卡,place of death,巴黎
国际贸易,subclass of,学科
甘油,has part,碳
玩具,subclass of,产品
高加索,country,阿塞拜疆
太傅,subclass of,太傅
汉台区,instance of,区
圣多明哥,twinned administrative body,波士顿
契丹国,instance of,图书
杰拉德·柯伊伯,languages spoken written or signed,英语
哥伦布,country,美国
阿富汗,shares border with,中华人民共和国
中弗兰肯,contains administrative territorial entity,菲尔特
机器学习,part of,人工智能
李渊,spouse,太穆皇后
越南,contains administrative territorial entity,太原省
新赫布里底群岛,country,英国
基础设施,part of,社会
美国邮政,country,美国
光子,has quality,最大值
江苏,contains administrative territorial entity,淮安市
菲律宾,diplomatic relation,越南
朱熹,occupation,哲学家
伊洛瓦底江,continent,亚洲
萨拉热窝,twinned administrative body,安卡拉
马超,sex or gender,男性
希腊语,country,瑞典
塞纳-马恩省,named after,塞纳河
郑和下西洋,country,中国
上海,located in the administrative territorial entity,中华人民共和国
曼德海峡,instance of,海峡
乌克兰苏维埃社会主义共和国,member of,苏联
托马斯·摩尔,country of citizenship,英格兰王国
马德拉群岛,contains administrative territorial entity,丰沙尔
曹操,languages spoken written or signed,汉语
苗语,located in the administrative territorial entity,云南省
莱比锡,instance of,城市
大洲,subclass of,地理位置
荷兰王国,country,荷兰王国
蒙古,continent,亚洲
燕京大学,founded by,公理会
产业,said to be the same as,制造业
柳宗元,country of citizenship,唐朝
普朗克常数,named after,马克斯·普朗克
不丹,diplomatic relation,日本
广东,shares border with,广西壮族自治区
亲缘分支分类法,instance of,方法
万里长城,located in the administrative territorial entity,天津市
西班牙,diplomatic relation,澳大利亚
列支敦斯登,continent,欧洲
赫尔辛基,instance of,首都
鄂州,country,中华人民共和国
慕尼黑协定,part of,绥靖
汉文帝,country of citizenship,西汉
原子物理,part of,物理学
长安,country,中华人民共和国
法兰克尼亚,part of,图林根
密支那,country,缅甸
中华民国,diplomatic relation,柬埔寨
新天文学,instance of,图书
固体物理学,subclass of,物理学
重力波,subclass of,辐射
阿拉伯半岛,country,巴林
引力场,instance of,场
冲绳县,located in or next to body of water,东海
阿塞拜疆语,country,阿富汗
Ca,diplomatic relation,芬兰
科,part of,目
子婴,place of death,襄阳市
所罗门群岛,diplomatic relation,日本
波兰语,country,波兰
石松门,parent taxon,植物
法兰西第三共和国,capital,巴黎
挪威语,subclass of,北日耳曼语支
范仲淹,country of citizenship,宋朝
莫斯科,shares border with,卡卢加州
欧洲联盟,diplomatic relation,哈萨克斯坦
坦桑尼亚,diplomatic relation,墨西哥
中国古代四大发明,subclass of,发明
史学,subclass of,人文学科
塞尔维亚语,country,科索沃
朝鲜,diplomatic relation,巴西
刘德华,religion,佛教
托斯卡纳,country,意大利
爱沙尼亚,diplomatic relation,阿塞拜疆
安哥拉,deepest point,大西洋
